出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","2","1409","新纖","9541207.00","-9033279.00","-722381.00","-18917.00","-233370.00","5116002.00","4882632.00"
"114/03/26","105","2","1718","中纖","12952418.00","-21790813.00","-1672718.00","-36793.00","-10547906.00","89538126.00","78990220.00"
"114/03/26","105","2","2514","龍邦","-272099.00","-161792.00","543867.00","9964.00","119940.00","275621.00","395561.00"
"114/03/26","105","2","2905","三商","38348863.00","-48316612.00","988267.00","-6214.00","-8985696.00","78331686.00","69345990.00"
