出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","2","2801","彰銀","--","--","--","--","--","--","--"
"114/03/26","105","2","2809","京城銀","-6853796.00","89487.00","-929772.00","-72332.00","-7766413.00","37135428.00","29369015.00"
"114/03/26","105","2","2812","台中銀","13913237.00","-21722212.00","-3043207.00","-36793.00","-10888975.00","86730074.00","75841099.00"
"114/03/26","105","2","2820","華票","--","--","--","--","--","--","--"
"114/03/26","105","2","2834","臺企銀","48168701.00","-47543722.00","722321.00","-9058.00","1338242.00","41061810.00","42400052.00"
"114/03/26","105","2","2836","高雄銀","-17386558.00","-17648.00","-3013546.00","-55.00","-20417807.00","31320675.00","10902868.00"
"114/03/26","105","2","2838","聯邦銀","5195521.00","-3256075.00","2631898.00","-564106.00","4007238.00","78518946.00","82526184.00"
"114/03/26","105","2","2845","遠東銀","-12483061.00","1669225.00","9691645.00","-86368.00","-1208559.00","85844817.00","84636258.00"
"114/03/26","105","2","2849","安泰銀","4538250.00","1241563.00","-7400452.00","-73215.00","-1693854.00","5703982.00","4010128.00"
"114/03/26","105","2","2897","王道銀行","12859853.00","-12679257.00","4442878.00","169279.00","4792753.00","17962137.00","22754890.00"
"114/03/26","105","2","5876","上海商銀","-30365999.00","-984920.00","-678483.00","-277570.00","-32306972.00","202637807.00","170330835.00"
