出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","103","2","2801","彰銀","-12657959.00","-792965.00","23941350.00","-191662.00","10298764.00","73199864.00","83498628.00"
"114/03/26","103","2","2809","京城銀","-6462962.00","1245037.00","4259723.00","-19402.00","-977604.00","50114079.00","49136475.00"
"114/03/26","103","2","2812","台中銀","-3474390.00","1698327.00","-1191655.00","-20094.00","-2987812.00","72438282.00","69450470.00"
"114/03/26","103","2","2820","華票","--","--","--","--","--","--","--"
"114/03/26","103","2","2834","臺企銀","35970312.00","-5493670.00","-3044273.00","3869.00","27436238.00","32244163.00","59680401.00"
"114/03/26","103","2","2836","高雄銀","8676978.00","-98396.00","202124.00","-5404.00","8775302.00","23037571.00","31812873.00"
"114/03/26","103","2","2838","聯邦銀","-4331390.00","3062527.00","-151536.00","-11552.00","-1431951.00","82564182.00","81132231.00"
"114/03/26","103","2","2845","遠東銀","-24599055.00","-1592961.00","4138487.00","-30309.00","-22083838.00","101027363.00","78943525.00"
"114/03/26","103","2","2849","安泰銀","2411284.00","1187709.00","-860262.00","1457.00","2740188.00","4193198.00","6933386.00"
"114/03/26","103","2","2897","王道銀行","-5193868.00","585667.00","9539294.00","-46559.00","4884534.00","12628367.00","17512901.00"
"114/03/26","103","2","5876","上海商銀","-48338534.00","907999.00","989887.00","-218866.00","-46659514.00","192409678.00","145750164.00"
