出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","4","2880","華南金","26839640.00","15392782.00","42232422.00","3445877.00","226072.00","22516044.00","16044429.00","-1957629.00","14086800.00","--","14086800.00","-1931831.00","12154969.00","14086734.00","--","66.00","12154903.00","--","66.00","1.34"
"114/03/26","105","4","2881","富邦金","105776697.00","333146011.00","438922708.00","2608425.00","324612825.00","57021441.00","54680017.00","-6105261.00","48574756.00","--","48574756.00","-3561638.00","45013118.00","48421046.00","--","153710.00","45412539.00","--","-399421.00","4.73"
"114/03/26","105","4","2882","國泰金","153477903.00","385802281.00","539280184.00","5231640.00","408613955.00","75250084.00","50184505.00","-2145305.00","48039200.00","--","48039200.00","-4652382.00","43386818.00","47618813.00","--","420387.00","43393475.00","--","-6657.00","3.79"
"114/03/26","105","4","2883","凱基金","7059502.00","20068226.00","27127728.00","751478.00","--","19265421.00","7110829.00","-1123925.00","5986904.00","--","5986904.00","802045.00","6788949.00","5923081.00","--","63823.00","6736201.00","--","52748.00","0.40"
"114/03/26","105","4","2884","玉山金","18584671.00","22480161.00","41064832.00","3463088.00","--","22396072.00","15205672.00","-2222490.00","12983182.00","--","12983182.00","-2476343.00","10506839.00","13135212.00","--","-152030.00","10673795.00","--","-166956.00","1.50"
"114/03/26","105","4","2885","元大金","21387602.00","62554132.00","83941734.00","1093091.00","30788509.00","35287116.00","16773018.00","-2472795.00","14300223.00","--","14300223.00","-3998132.00","10302091.00","13414105.00","--","886118.00","9959024.00","--","343067.00","1.16"
"114/03/26","105","4","2886","兆豐金","37693052.00","17371068.00","55064120.00","3613467.00","116264.00","23417176.00","27917213.00","-5474318.00","22442895.00","--","22442895.00","-3471024.00","18971871.00","22456183.00","0.00","-13288.00","18981010.00","0.00","-9139.00","1.65"
"114/03/26","105","4","2887","台新金","18004135.00","18147270.00","36151405.00","3350119.00","--","19831493.00","12969793.00","-1577360.00","11392433.00","--","11392433.00","-453287.00","10939146.00","11399434.00","--","-7001.00","10944967.00","--","-5821.00","1.14"
"114/03/26","105","4","2888","新光金","81529363.00","152418004.00","233947367.00","1415312.00","204356270.00","23048341.00","5127444.00","-28934.00","5098510.00","--","5098510.00","7877662.00","12976172.00","4810317.00","--","288193.00","13045990.00","--","-69818.00","0.48"
"114/03/26","105","4","2889","國票金","2039933.00","3275325.00","5315258.00","51084.00","--","2619787.00","2644387.00","-445772.00","2198615.00","--","2198615.00","-543700.00","1654915.00","2110209.00","--","88406.00","1593333.00","--","61582.00","0.78"
"114/03/26","105","4","2890","永豐金","16612598.00","14207589.00","30820187.00","1592243.00","--","19701784.00","9526160.00","-1244612.00","8281548.00","--","8281548.00","-1705854.00","6575694.00","8283153.00","--","-1605.00","6577299.00","--","-1605.00","0.78"
"114/03/26","105","4","2891","中信金","83467175.00","236204186.00","319671361.00","5896362.00","220215855.00","59606969.00","33952175.00","-6019301.00","27932874.00","--","27932874.00","-8712180.00","19220694.00","27928977.00","--","3897.00","19219055.00","--","1639.00","1.43"
"114/03/26","105","4","2892","第一金","28801151.00","16289447.00","45090598.00","2243861.00","871064.00","21778169.00","20197504.00","-2913347.00","17284157.00","--","17284157.00","-2354170.00","14929987.00","17355998.00","--","-71841.00","15023178.00","--","-93191.00","1.45"
"114/03/26","105","4","5880","合庫金","33411192.00","9172541.00","42583733.00","3970570.00","-2002856.00","24389933.00","16226086.00","-2086923.00","14139163.00","--","14139163.00","-2623699.00","11515464.00","13764795.00","--","374368.00","11405236.00","--","110228.00","1.16"
