出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","4","1101","台泥","89564306.00","71583302.00","17981004.00","--","--","17981004.00","4946868.00","--","13034136.00","-1518801.00","11515335.00","2673260.00","8842075.00","--","--","8842075.00","-6987714.00","--","1854361.00","6358452.00","--","2483623.00","2411113.00","--","-556752.00","1.72"
"114/03/26","105","4","1102","亞泥","60946190.00","52358957.00","8587233.00","0.00","1041.00","8588274.00","2355226.00","--","6233048.00","243541.00","6476589.00","1793292.00","4683297.00","--","--","4683297.00","-14688396.00","--","-10005099.00","3945769.00","--","737528.00","-9550011.00","--","-455088.00","1.26"
"114/03/26","105","4","1103","嘉泥","3140190.00","3044769.00","95421.00","--","--","95421.00","552899.00","0.00","-457478.00","536639.00","79161.00","69355.00","9806.00","--","--","9806.00","1836923.00","--","1846729.00","24889.00","--","-15083.00","1793477.00","--","53252.00","0.04"
"114/03/26","105","4","1104","環泥","4622199.00","3979894.00","642305.00","--","--","642305.00","375844.00","--","266461.00","1512061.00","1778522.00","94984.00","1683538.00","--","--","1683538.00","-657488.00","--","1026050.00","1701798.00","--","-18260.00","1044140.00","--","-18090.00","2.68"
"114/03/26","105","4","1108","幸福","4251061.00","3588568.00","662493.00","--","--","662493.00","236273.00","106.00","426326.00","-24996.00","401330.00","77128.00","324202.00","-9125.00","--","315077.00","-11471.00","--","303606.00","315334.00","--","-257.00","303872.00","--","-266.00","0.78"
"114/03/26","105","4","1109","信大","4346147.00","3685954.00","660193.00","--","--","660193.00","363498.00","--","296695.00","-87318.00","209377.00","31706.00","177671.00","--","--","177671.00","-160998.00","--","16673.00","161017.00","--","16654.00","61653.00","--","-44980.00","0.42"
"114/03/26","105","4","1110","東泥","1478515.00","1468244.00","10271.00","--","--","10271.00","85574.00","--","-75303.00","292639.00","217336.00","9733.00","207603.00","--","--","207603.00","-91853.00","--","115750.00","108418.00","--","99185.00","16564.00","--","99186.00","0.19"
"114/03/26","105","4","1201","味全","17074511.00","12488557.00","4585954.00","--","--","4585954.00","5973176.00","--","-1387222.00","245236.00","-1141986.00","-57684.00","-1084302.00","0.00","--","-1084302.00","-357214.00","--","-1441516.00","-776709.00","--","-307593.00","-1133316.00","--","-308200.00","-1.53"
"114/03/26","105","4","1203","味王","6346767.00","4615049.00","1731718.00","0.00","0.00","1731718.00","981637.00","--","750081.00","70882.00","820963.00","190729.00","630234.00","0.00","--","630234.00","-37755.00","--","592479.00","422963.00","--","207271.00","398737.00","--","193742.00","1.78"
"114/03/26","105","4","1210","大成","75795660.00","65867986.00","9927674.00","--","--","9927674.00","7183972.00","--","2743702.00","396980.00","3140682.00","579420.00","2561262.00","--","--","2561262.00","-943268.00","--","1617994.00","2058380.00","--","502882.00","1610555.00","--","7439.00","3.01"
