出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","104","1","1409","新纖","-240924.00","-1891530.00","1507307.00","-10683.00","-635830.00","5417476.00","4781646.00"
"114/03/26","104","1","1718","中纖","4721594.00","-6556646.00","218253.00","--","-1616799.00","80704189.00","79087390.00"
"114/03/26","104","1","2514","龍邦","5806196.00","359606.00","160212.00","-57160.00","6268854.00","27969223.00","34238077.00"
"114/03/26","104","1","2905","三商","-9832938.00","-31113514.00","3472831.00","-2548.00","-37476169.00","66340988.00","28864819.00"
