出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","105","2","8222","寶一","870259.00","703186.00","1573445.00","491257.00","196158.00","687415.00","683735.00","52199.00","150096.00","0.00","--","--","--","--","--","886030.00","0.00","0.00","0.00","12.96"
"114/03/26","105","2","8249","菱光","3103858.00","1621132.00","4724990.00","1329292.00","68579.00","1397871.00","1270550.00","677467.00","973731.00","405371.00","--","3327119.00","--","--","--","3327119.00","0.00","0.00","0.00","26.19"
"114/03/26","105","2","8261","富鼎","1315686.00","417772.00","1733458.00","425066.00","1234.00","426300.00","815647.00","328460.00","206133.00","-43082.00","--","1307158.00","--","--","--","1307158.00","0.00","0.00","0.00","16.03"
"114/03/26","105","2","8271","宇瞻","3181325.00","960393.00","4141718.00","1386704.00","23770.00","1410474.00","1505937.00","353331.00","900251.00","-28275.00","--","2731244.00","--","--","--","2731244.00","--","0.00","0.00","18.14"
"114/03/26","105","2","8341","日友","1374265.00","1988019.00","3362284.00","994953.00","227335.00","1222288.00","1115000.00","452500.00","565222.00","7274.00","--","2139996.00","--","--","--","2139996.00","0.00","0.00","0.00","19.19"
"114/03/26","105","2","8367","建新國際","1017305.00","3616789.00","4634094.00","1012550.00","1664087.00","2676637.00","734499.00","251401.00","623845.00","--","--","1609745.00","0.00","--","347712.00","1957457.00","0.00","0.00","0.00","21.92"
"114/03/26","105","2","8374","羅昇","2659407.00","801311.00","3460718.00","1979557.00","150946.00","2130503.00","876085.00","60451.00","347329.00","46264.00","--","1330129.00","--","--","86.00","1330215.00","0.00","0.00","0.00","15.18"
"114/03/26","105","2","8404","百和興業-KY","4430261.00","2360972.00","6791233.00","1644994.00","436360.00","2081354.00","2456495.00","461544.00","1505153.00","-49453.00","--","4373739.00","--","--","336140.00","4709879.00","--","0.00","0.00","19.59"
"114/03/26","105","2","8411","福貞-KY","3913533.00","5060966.00","8974499.00","1541812.00","1629357.00","3171169.00","1584446.00","2369651.00","1855716.00","-6483.00","--","5803330.00","--","--","0.00","5803330.00","0.00","0.00","0.00","38.28"
"114/03/26","105","2","8422","可寧衛","4026945.00","2548956.00","6575901.00","1801424.00","154959.00","1956383.00","1088880.00","1701775.00","1827843.00","27.00","--","4618525.00","0.00","--","993.00","4619518.00","--","0.00","0.00","42.42"
