出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","3","2855","統一證","54405036.00","4711508.00","59116544.00","37179010.00","9553.00","37188563.00","13231191.00","256116.00","8439856.00","-39368.00","--","21887795.00","--","--","21927981.00","0.00","0.00","16.54"
"114/03/26","102","3","6005","群益證","65478650.00","14767919.00","80246569.00","47467065.00","2445770.00","49912835.00","23690730.00","2705473.00","3166435.00","-20915.00","0.00","29541723.00","--","--","30333734.00","0.00","0.00","12.47"
"114/03/26","102","3","6024","群益期","10517949.00","474035.00","10991984.00","8980396.00","1439.00","8981835.00","1000879.00","107625.00","884298.00","17347.00","0.00","2010149.00","--","--","2010149.00","0.00","0.00","20.08"
