出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","102","3","5533","皇鼎","6413974.00","3598138.00","10012112.00","2395248.00","1895681.00","4290929.00","2431696.00","13349.00","3277636.00","-1498.00","--","5721183.00","--","--","--","5721183.00","0.00","0.00","23.53"
"114/03/26","102","3","5534","長虹","21996232.00","792187.00","22788419.00","12301477.00","822611.00","13124088.00","2488142.00","1078203.00","6057802.00","0.00","--","9624147.00","--","--","40184.00","9664331.00","0.00","0.00","38.68"
"114/03/26","102","3","5538","東明-KY","3645181.00","1288910.00","4934091.00","2078930.00","83944.00","2162874.00","1500000.00","704028.00","413956.00","118699.00","--","2736683.00","--","--","34534.00","2771217.00","0.00","0.00","18.24"
"114/03/26","102","3","5607","遠雄港","1003851.00","5458580.00","6462431.00","643269.00","2407891.00","3051160.00","1699791.00","492000.00","427220.00","241501.00","--","2860512.00","--","--","550759.00","3411271.00","0.00","0.00","16.83"
"114/03/26","102","3","5608","四維航","1799823.00","27207043.00","29006866.00","4088797.00","16650018.00","20738815.00","4033500.00","1463832.00","3663791.00","-893072.00","--","8268051.00","--","--","--","8268051.00","0.00","0.00","20.50"
"114/03/26","102","3","5706","鳳凰","1255803.00","519354.00","1775157.00","510101.00","13316.00","523417.00","610605.00","290517.00","325640.00","-31343.00","0.00","1195419.00","0.00","--","56321.00","1251740.00","0.00","0.00","19.58"
"114/03/26","102","3","5871","中租-KY","145287937.00","39638395.00","184926332.00","125028302.00","31548256.00","156576558.00","9958304.00","9411771.00","6643682.00","536827.00","--","26550584.00","--","--","1799190.00","28349774.00","0.00","0.00","26.66"
"114/03/26","102","3","5906","台南-KY","1982929.00","511933.00","2494862.00","989949.00","70640.00","1060589.00","963233.00","238907.00","220517.00","11616.00","--","1434273.00","--","--","--","1434273.00","0.00","0.00","14.89"
"114/03/26","102","3","5907","大洋-KY","6583626.00","15763976.00","22347602.00","6508065.00","6138330.00","12646395.00","2020000.00","5207809.00","2666370.00","-10869.00","-190949.00","9692361.00","--","--","8846.00","9701207.00","0.00","2501000.00","48.58"
"114/03/26","102","3","6108","競國","6112651.00","4750829.00","10863480.00","5789500.00","1751687.00","7541187.00","1598993.00","418929.00","1159127.00","145244.00","0.00","3322293.00","--","--","0.00","3322293.00","0.00","0.00","20.78"
"114/03/26","102","3","6112","邁達特","3693155.00","681942.00","4375097.00","2617123.00","14599.00","2631722.00","833822.00","485813.00","365228.00","0.00","--","1684863.00","--","--","58512.00","1743375.00","0.00","0.00","20.21"
"114/03/26","102","3","6115","鎰勝","6380748.00","1354769.00","7735517.00","2372294.00","597241.00","2969535.00","1701337.00","1079338.00","1960021.00","25286.00","0.00","4765982.00","--","--","0.00","4765982.00","0.00","0.00","28.01"
"114/03/26","102","3","6116","彩晶","19548843.00","26953041.00","46501884.00","9558295.00","2541010.00","12099305.00","29321218.00","634934.00","5519357.00","-1072930.00","--","34402579.00","--","--","0.00","34402579.00","898000.00","0.00","11.73"
"114/03/26","102","3","6117","迎廣","1822678.00","1741374.00","3564052.00","1620184.00","77610.00","1697794.00","886500.00","560689.00","424756.00","-5687.00","0.00","1866258.00","--","--","0.00","1866258.00","0.00","0.00","21.05"
"114/03/26","102","3","6120","達運","8698732.00","8605143.00","17303875.00","5872428.00","726733.00","6599161.00","4563539.00","5499027.00","25274.00","543197.00","0.00","10631037.00","--","--","73677.00","10704714.00","0.00","0.00","23.30"
"114/03/26","102","3","6128","上福","1035480.00","1781873.00","2817353.00","794614.00","427738.00","1222352.00","910887.00","240358.00","448781.00","-5025.00","--","1595001.00","--","--","--","1595001.00","0.00","0.00","17.51"
"114/03/26","102","3","6133","金橋","999000.00","674767.00","1673767.00","200324.00","160128.00","360452.00","1033342.00","311077.00","40983.00","13010.00","-85097.00","1313315.00","--","--","0.00","1313315.00","0.00","8849000.00","13.90"
"114/03/26","102","3","6136","富爾特","1653641.00","1687346.00","3340987.00","118474.00","22379.00","140853.00","1155364.00","137381.00","500011.00","1384749.00","0.00","3177505.00","0.00","--","22629.00","3200134.00","0.00","0.00","27.50"
"114/03/26","102","3","6139","亞翔","12218260.00","5434663.00","17652923.00","8394384.00","1030276.00","9424660.00","1882512.00","2540251.00","1729800.00","141979.00","0.00","6294542.00","--","--","1933721.00","8228263.00","0.00","0.00","33.44"
"114/03/26","102","3","6141","柏承","2266147.00","2943144.00","5209291.00","2588170.00","226413.00","2814583.00","1342905.00","305960.00","753254.00","-8963.00","0.00","2393156.00","--","--","1552.00","2394708.00","0.00","0.00","17.82"
"114/03/26","102","3","6142","友勁","7436540.00","2227983.00","9664523.00","5200147.00","1005650.00","6205797.00","2725397.00","421293.00","442632.00","-97958.00","-32638.00","3458726.00","--","--","0.00","3458726.00","0.00","4304000.00","12.89"
"114/03/26","102","3","6152","百一","5749778.00","1604111.00","7353889.00","3610891.00","533721.00","4144612.00","1724005.00","613292.00","693212.00","157612.00","--","3188121.00","--","--","21156.00","3209277.00","0.00","0.00","18.49"
"114/03/26","102","3","6153","嘉聯益","7099219.00","5060697.00","12159916.00","4534321.00","272976.00","4807297.00","3247937.00","1524789.00","2545675.00","34218.00","0.00","7352619.00","--","--","0.00","7352619.00","0.00","0.00","22.64"
"114/03/26","102","3","6155","鈞寶","1468676.00","684125.00","2152801.00","683235.00","60469.00","743704.00","829216.00","175817.00","337837.00","66227.00","0.00","1409097.00","--","--","0.00","1409097.00","0.00","0.00","16.99"
"114/03/26","102","3","6164","華興","1401970.00","831829.00","2233799.00","533021.00","167418.00","700439.00","1183032.00","17804.00","324185.00","-1011.00","0.00","1524010.00","--","--","9350.00","1533360.00","0.00","0.00","12.88"
"114/03/26","102","3","6165","浪凡","498315.00","372119.00","870434.00","204221.00","22017.00","226238.00","950091.00","0.00","-301636.00","-4259.00","--","644196.00","--","--","--","644196.00","0.00","0.00","6.78"
"114/03/26","102","3","6166","凌華","4000811.00","1631343.00","5632154.00","2417053.00","101603.00","2518656.00","1707809.00","602721.00","755494.00","41528.00","--","3107552.00","--","--","5946.00","3113498.00","0.00","0.00","18.20"
"114/03/26","102","3","6168","宏齊","2953150.00","1823290.00","4776440.00","1365285.00","661936.00","2027221.00","2051615.00","556111.00","-102023.00","237185.00","-52785.00","2690103.00","--","--","59116.00","2749219.00","0.00","2915352.00","13.30"
"114/03/26","102","3","6176","瑞儀","37659243.00","7965362.00","45624605.00","21351429.00","3963709.00","25315138.00","4650273.00","4539163.00","10979727.00","140304.00","--","20309467.00","--","--","--","20309467.00","0.00","0.00","43.67"
"114/03/26","102","3","6177","達麗","7328649.00","315190.00","7643839.00","5141457.00","454173.00","5595630.00","1639122.00","179644.00","232387.00","-2944.00","--","2048209.00","--","--","--","2048209.00","0.00","0.00","12.50"
"114/03/26","102","3","6183","關貿","1164882.00","1221788.00","2386670.00","332670.00","125371.00","458041.00","1500000.00","11.00","427962.00","656.00","--","1928629.00","--","--","--","1928629.00","0.00","0.00","12.86"
"114/03/26","102","3","6184","大豐電","3701330.00","1509708.00","5211038.00","873490.00","1180096.00","2053586.00","847726.00","243390.00","549660.00","80333.00","0.00","1721109.00","--","--","1436343.00","3157452.00","0.00","0.00","20.30"
"114/03/26","102","3","6189","豐藝","7013391.00","481724.00","7495115.00","4005523.00","210279.00","4215802.00","1790452.00","519275.00","948281.00","-8090.00","0.00","3249918.00","--","--","29395.00","3279313.00","0.00","0.00","18.15"
"114/03/26","102","3","6191","精成科","16906257.00","9806444.00","26712701.00","12291103.00","3810069.00","16101172.00","5315469.00","3463270.00","2021239.00","-222856.00","0.00","10577122.00","--","--","34407.00","10611529.00","0.00","0.00","19.90"
"114/03/26","102","3","6192","巨路","4910221.00","1003622.00","5913843.00","1916718.00","559343.00","2476061.00","1187109.00","110891.00","2153564.00","-13782.00","0.00","3437782.00","--","--","0.00","3437782.00","0.00","0.00","28.96"
"114/03/26","102","3","6196","帆宣","8350237.00","2082660.00","10432897.00","6321494.00","154043.00","6475537.00","1646108.00","613377.00","1696398.00","-4258.00","--","3951625.00","--","--","5735.00","3957360.00","0.00","0.00","24.01"
"114/03/26","102","3","6197","佳必琪","4419436.00","954861.00","5374297.00","1612714.00","18552.00","1631266.00","1734478.00","1286867.00","642715.00","11152.00","--","3675212.00","--","--","67819.00","3743031.00","0.00","0.00","21.19"
"114/03/26","102","3","6201","亞弘電","2375176.00","872710.00","3247886.00","794600.00","109076.00","903676.00","892000.00","333190.00","1117862.00","1158.00","--","2344210.00","0.00","--","0.00","2344210.00","0.00","0.00","26.28"
"114/03/26","102","3","6202","盛群","3430663.00","1291052.00","4721715.00","898633.00","113336.00","1011969.00","2248156.00","85340.00","1355661.00","8874.00","--","3698031.00","--","--","11715.00","3709746.00","11351.00","0.00","16.53"
"114/03/26","102","3","6205","詮欣","1695180.00","507148.00","2202328.00","627290.00","91472.00","718762.00","718391.00","191532.00","382608.00","-10912.00","0.00","1281619.00","--","--","201947.00","1483566.00","0.00","0.00","17.84"
"114/03/26","102","3","6206","飛捷","3534767.00","1257068.00","4791835.00","818507.00","391893.00","1210400.00","1192975.00","646077.00","1713095.00","-2171.00","--","3549976.00","--","--","31459.00","3581435.00","0.00","0.00","29.76"
